 "name" , "platformName" , "platformUrl" , "numberOfSeason" ,
 "Ну, погоди!" , "Channel One" , "https://web.archive.org/web/20051110043143/http:/www.ruj.ru/index_55.htm" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://web.archive.org/web/20060208082939/http:/www.ifj.org/default.asp%3FIssue=ETHICS&Language=EN" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://web.archive.org/web/20081223054400/http:/www.1tv.ru/gordonkihot/" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://web.archive.org/web/20081227055109/http:/www.1tv.ru/ice2/" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://web.archive.org/web/20140201211749/http:/www.1tv.ru/eng/" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://www.youtube.com/1tv" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://www.1tv.ru/live" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://eng.1tv.com" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://www.1tv.com" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://www.1tv.ru" , "1" ,
 "Ну, погоди!" , "Channel One" , "http://www.eurovision.tv/page/news%3Fid=1624" , "1" ,
 "Ну, погоди!" , "Channel One" , "http://www.1tv.ru/sprojects/si=5748" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://eng.1tv.com/" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://www.1tv.com/" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://web.archive.org/web/19970419163916/http:/www.ortv.ru/" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://web.archive.org/web/19981212031639/http:/www.ortv.ru/" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://web.archive.org/web/20000312221737/http:/www.ortv.ru/total/total.htm" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://web.archive.org/web/20051110043143/http:/www.ruj.ru/index_55.htm" , "1" ,
 "Ну, погоди!" , "Channel One" , "https://web.archive.org/web/20060208082939/http:/www.ifj.org/default.asp%3FIssue=ETHICS&Language=EN" , "1" ,
